model,pruning_method,lr,epochs,prune_biases,snip_mini_batches,seed,fraction,accuracy
small_cnn,magnitude,0.001,10,False,,42,0.3,57.830000000000005
small_cnn,magnitude,0.001,10,False,,42,0.8,17.52
small_cnn,magnitude,0.001,10,True,,42,0.3,57.85
small_cnn,magnitude,0.001,10,True,,42,0.8,17.88
small_cnn,magnitude,0.001,50,False,,42,0.3,58.269999999999996
small_cnn,magnitude,0.001,50,False,,42,0.8,23.669999999999998
small_cnn,magnitude,0.001,50,True,,42,0.3,58.269999999999996
small_cnn,magnitude,0.001,50,True,,42,0.8,23.73
small_cnn,magnitude,0.001,70,False,,42,0.3,58.57
small_cnn,magnitude,0.001,70,False,,42,0.8,24.310000000000002
small_cnn,magnitude,0.001,70,True,,42,0.3,58.589999999999996
small_cnn,magnitude,0.001,70,True,,42,0.8,23.990000000000002
small_cnn,magnitude,0.0001,10,False,,42,0.3,55.65
small_cnn,magnitude,0.0001,10,False,,42,0.8,10.01
small_cnn,magnitude,0.0001,10,True,,42,0.3,55.66
small_cnn,magnitude,0.0001,10,True,,42,0.8,10.01
small_cnn,magnitude,0.0001,50,False,,42,0.3,57.68
small_cnn,magnitude,0.0001,50,False,,42,0.8,13.44
small_cnn,magnitude,0.0001,50,True,,42,0.3,57.67
small_cnn,magnitude,0.0001,50,True,,42,0.8,13.54
small_cnn,magnitude,0.0001,70,False,,42,0.3,57.78
small_cnn,magnitude,0.0001,70,False,,42,0.8,16.2
small_cnn,magnitude,0.0001,70,True,,42,0.3,57.8
small_cnn,magnitude,0.0001,70,True,,42,0.8,16.48
